#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2EC34
#Date Time: 2026-03-31 19:17:03.346
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 800 mV
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V)
-0.00012125,1.557130417767963
-0.00012,1.546204085353226
-0.00011875,1.546204085353226
-0.0001175,1.535277752938488
-0.00011625,1.535277752938488
-0.000115,1.52435142052375
-0.00011375,1.520709309718837
-0.0001125,1.513425088109012
-0.00011125,1.506140866499187
-0.00011,1.506140866499187
-0.00010875,1.495214534084449
-0.0001075,1.487930312474624
-0.00010625,1.477003980059886
-0.000105,1.466077647645148
-0.00010375,1.469719758450061
-0.0001025,1.447867093620586
-0.00010125,1.447867093620586
-0.0001,1.451509204425498
-9.875e-05,1.444224982815673
-9.75e-05,1.42601442879111
-9.624999999999999e-05,1.422372317986197
-9.500000000000001e-05,1.41144598557146
-9.375e-05,1.400519653156722
-9.25e-05,1.400519653156722
-9.125e-05,1.393235431546897
-9.000000000000001e-05,1.382309099132159
-8.875e-05,1.378666988327246
-8.75e-05,1.371382766717421
-8.625e-05,1.375024877522334
-8.500000000000001e-05,1.364098545107596
-8.375e-05,1.349530101887946
-8.25e-05,1.338603769473208
-8.125e-05,1.338603769473208
-8.000000000000001e-05,1.32767743705847
-7.875e-05,1.320393215448645
-7.75e-05,1.305824772228995
-7.625e-05,1.305824772228995
-7.499999999999999e-05,1.302182661424082
-7.375e-05,1.283972107399519
-7.25e-05,1.280329996594606
-7.125e-05,1.276687885789694
-6.999999999999999e-05,1.269403664179869
-6.875e-05,1.265761553374956
-6.75e-05,1.258477331765131
-6.625e-05,1.243908888545481
-6.499999999999999e-05,1.251193110155306
-6.375e-05,1.232982556130743
-6.25e-05,1.218414112911092
-6.125e-05,1.211129891301267
-6e-05,1.207487780496355
-5.875e-05,1.200203558886529
-5.75e-05,1.196561448081617
-5.625e-05,1.185635115666879
-5.5e-05,1.174708783252141
-5.375e-05,1.167424561642316
-5.25e-05,1.160140340032491
-5.125e-05,1.149214007617753
-5e-05,1.141929786007928
-4.875e-05,1.13100345359319
-4.75e-05,1.13100345359319
